"spid"	"apid"	"rowi"	"coli"	"wllt"	"wllq"	"conc"	"rval"
DMSO	"09Apr2014.Plate.1"	7	3	n	1	0.0	0.47
DMSO	"02Apr2014.Plate.1"	7	2	n	1	0.0	0.53
DMSO	"20130321.Plate.1"	2	3	n	1	0.0	0.389
DMSO	"10Jun2015.Plate.24"	6	3	n	1	0.0	0.13
DMSO	"03Sep2014.Plate.11"	6	3	n	1	0.0	1.32
DMSO	"26Mar2014.Plate.15"	7	3	n	1	0.0	0.12
DMSO	"09Apr2014.Plate.17"	7	3	n	1	0.0	0.48
DMSO	"02Apr2014.Plate.17"	7	3	n	1	0.0	0.75
DMSO	"20130320.Plate.12"	2	2	n	1	0.0	0.146
DMSO	"20130321.Plate.5"	2	3	n	1	0.0	0.398
DMSO	"10Jun2015.Plate.32"	6	3	n	1	0.0	0.1
DMSO	"03Sep2014.Plate.2"	6	3	n	1	0.0	1.18
DMSO	"26Mar2014.Plate.4"	6	3	n	1	0.0	0.09
DMSO	"02Apr2014.Plate.24"	7	3	n	1	0.0	0.55
DMSO	"20130320.Plate.2"	2	2	n	1	0.0	0.124
DMSO	"10Jun2015.Plate.3"	6	3	n	1	0.0	0.1
DMSO	"03Sep2014.Plate.8"	6	3	n	1	0.0	1.4
DMSO	"02Apr2014.Plate.31"	7	3	n	1	0.0	0.71
DMSO	"20130320.Plate.6"	2	3	n	1	0.0	0.066
DMSO	"09Apr2014.Plate.25"	6	3	n	1	0.0	0.54
DMSO	"20130321.Plate.9"	6	3	n	1	0.0	0.334
DMSO	"09Apr2014.Plate.32"	6	3	n	1	0.0	0.44
DMSO	"10Jun2015.Plate.8"	7	3	n	1	0.0	0.1
DMSO	"10Jun2015.Plate.17"	7	3	n	1	0.0	0.13
DMSO	"09Apr2014.Plate.9"	6	3	n	1	0.0	0.67
DMSO	"09Apr2014.Plate.10"	6	3	n	1	0.0	0.72
DMSO	"02Apr2014.Plate.10"	6	3	n	1	0.0	0.57
DMSO	"20130321.Plate.1"	6	3	n	1	0.0	0.316
